,song_id,up_votes/total_votes,up_votes,down_votes,difficulty,notes,bombs,BPM,obstacles,NJS,NJSOffset,length,duration
73,33681.0,0.75,30.0,10.0,1.0,505.0,12.0,115.0,6.0,12.0,0.0,357.0,685.0
74,33683.0,0.5555555555555556,5.0,4.0,4.0,844.0,0.0,100.0,55.0,20.0,0.0,204.0,340.125
75,33684.0,0.05555555555555555,1.0,17.0,4.0,1095.0,240.0,120.0,40.0,12.0,0.0,287.0,574.5
76,33686.0,0.8666666666666667,13.0,2.0,3.0,857.0,18.0,155.0,5.0,22.0,0.0,119.0,309.2547302246094
77,33686.0,0.8666666666666667,13.0,2.0,4.0,991.0,52.0,155.0,0.0,26.0,0.4000000059604645,119.0,309.2547302246094
78,33686.0,0.8666666666666667,13.0,2.0,2.0,722.0,8.0,155.0,5.0,18.0,0.0,119.0,309.2547607421875
79,33688.0,0.0,0.0,4.0,4.0,750.0,0.0,184.0,2.0,20.0,0.0,120.0,368.0030517578125
80,33689.0,0.7391304347826086,17.0,6.0,4.0,622.0,4.0,175.72000122070312,0.0,22.0,-0.30000001192092896,72.0,212.25
81,33690.0,0.8653846153846154,45.0,7.0,3.0,990.0,32.0,152.0,0.0,12.0,0.0,255.0,648.0953369140625
82,33693.0,0.375,3.0,5.0,4.0,2085.0,44.0,150.0,4.0,20.0,0.0,281.0,703.8125
83,33694.0,0.9761904761904762,41.0,1.0,3.0,316.0,0.0,194.0,2.0,15.0,0.0,90.0,293.5
84,33694.0,0.9761904761904762,41.0,1.0,4.0,507.0,0.0,194.0,0.0,17.0,0.0,90.0,293.5
85,33695.0,0.9166666666666666,22.0,2.0,4.0,1113.0,10.0,271.0,0.0,22.0,0.0,129.0,583.5546875
86,33696.0,0.9655172413793104,28.0,1.0,0.0,183.0,4.0,97.0,5.0,12.0,0.0,128.0,208.5
87,33696.0,0.9655172413793104,28.0,1.0,2.0,429.0,49.0,97.0,12.0,12.0,0.0,128.0,208.5
88,33696.0,0.9655172413793104,28.0,1.0,1.0,293.0,28.0,97.0,12.0,12.0,0.0,128.0,208.5
89,33698.0,0.5,7.0,7.0,3.0,718.0,0.0,130.08999633789062,7.0,18.0,0.0,129.0,280.0
90,33699.0,0.9056603773584906,48.0,5.0,3.0,704.0,6.0,235.0,45.0,18.0,0.4000000059604645,115.0,452.14617919921875
91,33699.0,0.9056603773584906,48.0,5.0,4.0,1223.0,11.0,235.0,45.0,24.0,-0.15000000596046448,115.0,452.14617919921875
92,33699.0,0.9056603773584906,48.0,5.0,2.0,315.0,4.0,235.0,45.0,15.0,0.0,115.0,452.1461486816406
